bug_id,bug_title,bug_description,bug_tags,priority,severity,area_path,iteration_path,state
99756,Constraint Rules aren't available on Configurator objects,,R_24.01; SRT,2,2 - High,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
99780,Concept Attributes not available on Assembly Design and Prod Facility Part,,R_24.01; SRT,3,4 - Low,104 newPDM\PLATON\Team 1,104 newPDM\PI4\Sprint 4.1,Closed
99795,Set Status workflows for Upper Product Structure elements,,R_24.01; SRT; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 2,104 newPDM\PI3\Sprint 3.3,Closed
99808,Teamcenter Infrastructure Configuration | Filter button option is disabled,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI4\Sprint 4.2,Closed
99835,N000000000053 Revision 0001.001| Frozen State,,Spillover; T4_Taskforce; Team 2; Team 3,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.3,Rejected
99866,A9064230420 Revision 0011.001 | DQ Check,,R_24.01; Team 4,2,2 - High,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.2,Closed
99874,Unable to add objects under Milestone to Objects relation,,R_24.01; SRT; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 2,104 newPDM\PI3\Sprint 3.3,Closed
99924,DT Properties section not available on SA Revision,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
99927,Part/Assembly Design cannot be added as child to SA Revision,,R_24.01; SRT,2,2 - High,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.3,Closed
99968,Custom status Revision rules,,R_24.01; SRT; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 2,104 newPDM\PI3\Sprint 3.2,Closed
99981,Affected Items at Milestone Object,,R_24.01; SRT; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 2,104 newPDM\PI3\Sprint 3.2,Closed
99982,Organizational Unit misspelled in Add Item Panel,,R_24.01; SRT; TA,2,4 - Low,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.3,Closed
100127,Release Status and Effectivity Date Not Updating in Internal Change Order Association with Milestone Object,,R_24.01; SRT; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 2,104 newPDM\PI3\Sprint 3.2,Closed
100391,Unable to see TABLE OBJECTS section on some Design Objects,,R_24.01; Ready; SRT; Team 1; Team 3,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI4\Sprint 4.1,Closed
100393,In ECO Release Workflow TT -Allowing invalid users to approve task and mandatory reviews are skipped if user not assigned,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
100398,LOV values not available in Property and not modifiable in Product Data Quality Form,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
100444,PDM Author is able to Initiate CAD Release Workflow on CAD start parts,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
100471,A4710300720 Revision 0004.001 | Missing Structure and Data,,R_24.01; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
100479,A4710380171_FP001 Revision 0001.002 | Change Number,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
100636,Not Able to remove objects assigned to Program,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.3,Closed
100637,Not Able to remove objects assigned to the Projects,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
100770,In DT-Showcase (Simple KEM Workflow) Not Able to assign Reviewers,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.3,Closed
100801,Set in Engineering workflow not progressing at validation task,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
